	Classifier	Threshold	FAR	FRR
0	"[[0]
 [1]
 [2]
 [8]]"	18740.15	9.9610468009022e-05	0.1577999255937812
1	"[[0]
 [1]
 [2]
 [9]]"	18979.68	9.9610468009022e-05	0.16625873783556225
2	"[[ 0]
 [ 1]
 [ 2]
 [10]]"	18499.730000000003	9.9610468009022e-05	0.15666425172798654
3	"[[ 0]
 [ 1]
 [ 2]
 [11]]"	18756.89	9.9610468009022e-05	0.1631845861643594
4	"[[0]
 [1]
 [2]]"	14746.189999999999	9.9610468009022e-05	0.21910673376280082
5	"[[0]
 [1]
 [3]
 [8]]"	18824.34	9.9610468009022e-05	0.15496074092929452
6	"[[0]
 [1]
 [3]
 [9]]"	19047.269999999997	9.9610468009022e-05	0.1626559103992481
7	"[[ 0]
 [ 1]
 [ 3]
 [10]]"	18605.829999999998	9.9610468009022e-05	0.15529361085547572
8	"[[ 0]
 [ 1]
 [ 3]
 [11]]"	18857.85	9.9610468009022e-05	0.16177478412406257
9	"[[0]
 [1]
 [3]]"	14819.05	9.9610468009022e-05	0.22098646981652992
10	"[[0]
 [1]
 [4]]"	14795.79	9.9610468009022e-05	0.22460887783673708
11	"[[0]
 [1]
 [5]]"	14878.3	9.9610468009022e-05	0.22850541403144642
12	"[[0]
 [1]
 [6]
 [7]]"	19526.6	9.9610468009022e-05	0.1611286248555932
13	"[[0]
 [1]
 [6]
 [8]]"	18685.19	9.9610468009022e-05	0.13273677821072624
14	"[[0]
 [1]
 [6]
 [9]]"	18924.539999999997	9.9610468009022e-05	0.13788647177458832
15	"[[ 0]
 [ 1]
 [ 6]
 [10]]"	18570.61	9.9610468009022e-05	0.1370249260832958
16	"[[ 0]
 [ 1]
 [ 6]
 [11]]"	18796.879999999997	9.9610468009022e-05	0.13972704666053143
17	"[[0]
 [1]
 [6]]"	14651.380000000001	9.9610468009022e-05	0.17258326643300503
18	"[[0]
 [1]
 [7]
 [8]]"	18773.719999999998	9.9610468009022e-05	0.13430322492216717
19	"[[0]
 [1]
 [7]
 [9]]"	19024.58	9.9610468009022e-05	0.14148929921090247
20	"[[ 0]
 [ 1]
 [ 7]
 [10]]"	18654.6	9.9610468009022e-05	0.14011865833839166
21	"[[ 0]
 [ 1]
 [ 7]
 [11]]"	18897.47	9.9610468009022e-05	0.14452428971431927
22	"[[0]
 [1]
 [7]]"	14742.77	9.9610468009022e-05	0.18464490611110024
23	"[[ 0]
 [ 1]
 [ 8]
 [ 9]
 [10]]"	22306.3	9.9610468009022e-05	0.10722327739813202
24	"[[ 0]
 [ 1]
 [ 8]
 [ 9]
 [11]]"	22573.47	9.9610468009022e-05	0.11110023300894832
25	"[[0]
 [1]
 [8]
 [9]]"	18638.57	9.9610468009022e-05	0.14291868183509232
26	"[[ 0]
 [ 1]
 [ 8]
 [10]
 [11]]"	22358.289999999997	9.9610468009022e-05	0.11891288598225999
27	"[[ 0]
 [ 1]
 [ 8]
 [10]]"	17877.269999999997	9.9610468009022e-05	0.11564292847212704
28	"[[ 0]
 [ 1]
 [ 8]
 [11]]"	18124.92	9.9610468009022e-05	0.11895204715004601
29	"[[ 0]
 [ 1]
 [ 8]
 [12]]"	18825.67	9.9610468009022e-05	0.12819408274754754
30	"[[ 0]
 [ 1]
 [ 8]
 [13]]"	18862.49	9.9610468009022e-05	0.13160110434493155
31	"[[0]
 [1]
 [8]]"	14096.14	9.9610468009022e-05	0.15419709815746704
32	"[[ 0]
 [ 1]
 [ 9]
 [10]
 [11]]"	22644.910000000003	9.9610468009022e-05	0.12672553895557165
33	"[[ 0]
 [ 1]
 [ 9]
 [10]]"	18100.480000000003	9.9610468009022e-05	0.12075346086820309
34	"[[ 0]
 [ 1]
 [ 9]
 [11]]"	18352.260000000002	9.9610468009022e-05	0.12404299896222905
35	"[[ 0]
 [ 1]
 [ 9]
 [12]]"	19059.92	9.9610468009022e-05	0.13256055295568914
36	"[[ 0]
 [ 1]
 [ 9]
 [13]]"	19106.24	9.9610468009022e-05	0.137357796009477
37	"[[0]
 [1]
 [9]]"	14315.17	9.9610468009022e-05	0.16422235711068905
38	"[[ 0]
 [ 1]
 [10]
 [11]]"	18609.489999999998	9.9610468009022e-05	0.17078185271484797
39	"[[ 0]
 [ 1]
 [10]
 [12]]"	18684.48	9.9610468009022e-05	0.13093536449256918
40	"[[ 0]
 [ 1]
 [10]
 [13]]"	18706.18	9.9610468009022e-05	0.13459693368056236
41	"[[ 0]
 [ 1]
 [10]]"	13960.07	9.9610468009022e-05	0.16443774353351218
42	"[[ 0]
 [ 1]
 [11]
 [12]]"	18894.19	9.9610468009022e-05	0.1328151005462983
